input|target|label|3
the nation|aeroport international hercilio luz|FALSE|LATIN
istatistik kurum|estatua de la libertad|FALSE|LATIN
hallmark bank limited|jaguar (bilmarke)|FALSE|LATIN
organisationen foer sakerhet och samarbete i europa|osse|TRUE|LATIN
egeszsegugyi vilagszervezet|gazdasagi egyuttmukoedesi es fejlesztesi szervezet|FALSE|LATIN
bashkimi evropian|unione europ|TRUE|LATIN
bernard mathews|aeropuerto internacional suvarnabhumi|FALSE|LATIN
puchar davisa|acharq el awsat|FALSE|LATIN
det internasjonale krigsforbrytartribunalet for det tidlegare jugoslavia|electricite reseau distribution france|FALSE|LATIN
aeroport de tegel|aeroport de guadeloupe-pole caraibes|FALSE|LATIN
news channel 8|flughafen johannes paul ii krakau balice|FALSE|LATIN
kompania wschodnioindyjska|andyjski wspolny rynek|FALSE|LATIN
reds de cincinnati|internationaler flughafen istanbul-ataturk|FALSE|LATIN
consiliul european|european united left|FALSE|LATIN
diplomatic protection group|diplomatic missions of the united states|FALSE|LATIN
international olympic committee|budget committee|FALSE|LATIN
organisatie voor economische samenwerking en ontwikkeling|organisation de cooperation et de developpement economiques|TRUE|LATIN
cassini huygens|circo massimo|FALSE|LATIN
trattato di non proliferazione nucleare|trattato di maastricht|FALSE|LATIN
den kolde krig|guerre froide|TRUE|LATIN
ira (irlando)|tour de flandes|FALSE|LATIN
banca monte|montreal-mirabel internaciona aeroportuo|FALSE|LATIN
aeroporto di parigi roissy|fraport|FALSE|LATIN
air mediterranee|france terre d'asile|FALSE|LATIN
res publicas|conselho supremo das cortes islamicas|FALSE|LATIN
commission ue|foerenta nationernas flyktingkommissariat|FALSE|LATIN
aeroport international d'anchorage ted stevens|aeropuerto internacional ted stevens anchorage|TRUE|LATIN
vietnamin sota|guerra del vietnam|TRUE|LATIN
commissione europea|commission europeenne|TRUE|LATIN
ekonomia kaj socia komitato|fns okonomiske og sosiale rad|FALSE|LATIN
internationale flughafen moskau domodedowo|flughafen moskau-scheremetjewo|FALSE|LATIN
el codi da vinci|codigo da vinci|TRUE|LATIN
associacao nacional de rifles|bus association|FALSE|LATIN
grande muraille|sedichin sepili|TRUE|LATIN
gas-natural|evropska kosmicka agentura|FALSE|LATIN
metro de paris|paraisser metro|TRUE|LATIN
lagardere gruppe|corus-gruppe|FALSE|LATIN
programme pisa|united nations environment programme|FALSE|LATIN
oceanair linhas aereas|internationale flughafen sao paulo-congonhas|FALSE|LATIN
shirika la kimataifa la nishati ya nyuklia|the bourne ultimatum|FALSE|LATIN
la tribune de geneve|aeroport international de geneve|FALSE|LATIN
wall-mart|walmart|TRUE|LATIN
prefectura de nara|prefektura nagano|FALSE|LATIN
radikale venstre|europsko prvenstvo u nogometu austrija i svicarska 2008|FALSE|LATIN
ludwig-maximiliian universitet|umea university|FALSE|LATIN
union nationale pour l'independance totale de l'angola|uniunea nationala pentru independenta totala a angolei|TRUE|LATIN
education nationale|chennai international airport|FALSE|LATIN
sacramento kings|phuketin kansainvalinen lentoasema|FALSE|LATIN
yaounde nsimalen international airport|yaounde nsimalen nemzetkozi repuloter|TRUE|LATIN
congres national africain|congres nepalais|FALSE|LATIN
musee reina sofia|tuol-sleng-museum|FALSE|LATIN
fraport ag|aeroporto internacional de cumbica|FALSE|LATIN
giardini pensili di babilonia|emi recording limited|FALSE|LATIN
ladbrokes plc|soyuz (roket)|FALSE|LATIN
football league|campionatul european de fotbal 2008|FALSE|LATIN
suvarnabhumi airport|internationaler flughafen bangkok-suvarnabhumi|TRUE|LATIN
narodni shromazdeni|yellowstonsky narodni park|FALSE|LATIN
congonhas-sao paulo international airport|flughafen sao paulo-congonhas|TRUE|LATIN
laschkar e-taiba|lashkar-i-toiba|TRUE|LATIN
toll brothers inc|eleftherios venizelosin kansainvalinen lentoasema|FALSE|LATIN
den europeiske union|det europeiske rad|FALSE|LATIN
partido social democrata da alemanha|social democratic party of germany|TRUE|LATIN
universitato de viktorio|university of victoria|TRUE|LATIN
knight vincke|georg von holzbrinck|FALSE|LATIN
premiul nobel pentru pace|nobel-premiarii en pacala laboro|TRUE|LATIN
columbia universiteit|columbian yliopisto|TRUE|LATIN
ameerika uhendriikide valisministeerium|journalism award|FALSE|LATIN
chicago midway international airport|internationale flughafen chicago midway|TRUE|LATIN
banca centrale europea|evropska centralna banka|TRUE|LATIN
lok jan shakti party|den fabelaktige amelie fra montmartre|FALSE|LATIN
kanski filmski festival|beyn@lxalq kann kino festivali|TRUE|LATIN
toa an quoc te vi cong ly|corte internazionale di giustizia|TRUE|LATIN
freres musulmans|nouvelles frontieres|FALSE|LATIN
reliance anil dhirubhai ambani group|anil dhirubhai ambani group|TRUE|LATIN
aeroport de roissy|aeropuerto internacional logan|FALSE|LATIN
swiatowa organizacja zdrowia|maailman terveysjarjestoe|TRUE|LATIN
internationale seeschifffahrts organisation|internationale seeschifffahrts-organisation|TRUE|LATIN
hill hospital|york presbitarian hospital|FALSE|LATIN
europa tanacs|conselh d'europa|TRUE|LATIN
internationale flughafen johannesburg|aeropuerto internacional de johanesburgo|TRUE|LATIN
carnegie mellon-yliopisto|francouzska cizinecka legie|FALSE|LATIN
grand prix|monacos grand prix|FALSE|LATIN
free-trade area|european economic area|FALSE|LATIN
education sans frontieres|reseau education sans frontieres|TRUE|LATIN
roda khmererna|aeroport international de barcelone|FALSE|LATIN
svjetsko prvenstvo u nogometu njemacka 2006|europsko prvenstvo u nogometu-austrija i svicarska 2008|FALSE|LATIN
palestinian national authority|senate majority|FALSE|LATIN
constituicao europeia|euro 2008|FALSE|LATIN
western union|vienna international airport|FALSE|LATIN
olympic game|olympische speule|TRUE|LATIN
schiphol repuloter|becsi nemzetkozi repuloter|FALSE|LATIN
chechen friendship society|levi strauss (azienda)|FALSE|LATIN
royal nepalese army|elysee-paleis|FALSE|LATIN
rat u iraku 2003|al iraki|FALSE|LATIN
poder ejecutivo|consello xeral do poder xudicial|FALSE|LATIN
organizacion de las nacions unidas|organizace tajne armady|FALSE|LATIN
uefa champions league|six nations|FALSE|LATIN
svetovna zdravstvena organizacija|prva svetovna vojna|FALSE|LATIN
hoffmann-la roche|konzern roche|TRUE|LATIN
mclaren-mercedes|mercedes benz|FALSE|LATIN
