length|count
1|29
2|346
3|4248
4|16532
5|36836
6|51807
7|58177
8|59989
9|58816
10|57268
11|54740
12|51098
13|47791
14|41642
15|35681
16|30011
17|25185
18|20334
19|17025
20|14198
21|12044
22|9861
23|8837
24|7201
25|6051
26|5209
27|4330
28|3780
29|2959
30|2563
31|2112
32|1757
33|1464
34|1254
35|1100
36|944
37|870
38|746
39|680
40|580
41|544
42|483
43|458
44|403
45|379
46|372
47|335
48|347
49|355
50|318
51|239
52|247
53|233
54|199
55|168
56|167
57|164
58|208
59|113
60|163
61|169
62|155
63|164
64|112
65|154
66|143
67|119
68|100
69|97
70|100
71|79
72|62
73|54
74|57
75|37
76|32
77|49
78|36
79|37
80|22
81|30
82|24
83|34
84|30
85|54
86|29
87|21
88|26
89|14
90|23
91|22
92|15
93|18
94|19
95|15
96|10
97|12
98|8
99|9
100|6
101|6
102|10
103|6
104|8
105|3
106|6
107|4
108|2
109|2
110|2
111|1
115|1
129|1
131|1
133|1
166|1
